date;banque;indicateur;reecriture;valeur
2015-12-31;BNP;impot sur bénéfice;Taïwan;-40000000
2015-12-31;BNP;Effectif;Taïwan;409
2015-12-31;BNP;resultats/effectifs;Taïwan;1.66259e+06
2015-12-31;BNP;resultats/pnb;Taïwan;0.492754
2015-12-31;BNP;Produit Net Bancaire;Thaïlande;150000000
2015-12-31;BNP;Resultat avant impot;Thaïlande;10000000
2015-12-31;BNP;impot courant;Thaïlande;-20000000
2015-12-31;BNP;impot sur bénéfice;Thaïlande;-20000000
2015-12-31;BNP;Effectif;Thaïlande;68
2015-12-31;BNP;resultats/effectifs;Thaïlande;147059
2015-12-31;BNP;resultats/pnb;Thaïlande;0.0666667
2015-12-31;BNP;Produit Net Bancaire;Vietnam;130000000
2015-12-31;BNP;Resultat avant impot;Vietnam;40000000
2015-12-31;BNP;impot courant;Vietnam;-30000000
2015-12-31;BNP;impot différé;Vietnam;20000000
2015-12-31;BNP;impot sur bénéfice;Vietnam;-10000000
2015-12-31;BNP;Effectif;Vietnam;49
2015-12-31;BNP;resultats/effectifs;Vietnam;816327
2015-12-31;BNP;resultats/pnb;Vietnam;0.307692
2015-12-31;BPCE;Produit Net Bancaire;Allemagne;2130000000
2015-12-31;BPCE;Resultat avant impot;Allemagne;870000000
2015-12-31;BPCE;impot sur bénéfice;Allemagne;-300000000
2015-12-31;BPCE;Effectif;Allemagne;713
2015-12-31;BPCE;resultats/effectifs;Allemagne;1.2202e+06
2015-12-31;BPCE;resultats/pnb;Allemagne;0.408451
2015-12-31;BPCE;Produit Net Bancaire;Autriche;260000000
2015-12-31;BPCE;Resultat avant impot;Autriche;100000000
2015-12-31;BPCE;impot sur bénéfice;Autriche;-30000000
2015-12-31;BPCE;Effectif;Autriche;103
2015-12-31;BPCE;resultats/effectifs;Autriche;970874
2015-12-31;BPCE;resultats/pnb;Autriche;0.384615
2015-12-31;BPCE;Produit Net Bancaire;Belgique;220000000
2015-12-31;BPCE;Resultat avant impot;Belgique;80000000
